id,linha_original,fonte,disciplina,hierarquia_codigo,nivel_profundidade,assunto_nivel_1,assunto_nivel_2,assunto_nivel_3,assunto_nivel_4,assunto_especifico,quantidade_encontrada,porcentagem_encontrada,quantidade_caderno,porcentagem_caderno,ano,banca,cargo,split
71b9634f917e4950,5,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),02.03,2,Regime Jurídico Administrativo,"Princípios Implícitos, Reconhecidos e Infraconstitucionais",,,"Princípios Implícitos, Reconhecidos e Infraconstitucionais",226,0.34,226,0.34,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
33cae6936ee746c7,7,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),03.01,2,Atos Administrativos,Conceito de Atos Administrativos,,,Conceito de Atos Administrativos,106,0.16,106,0.16,2026,CESPE/Cebraspe,Concursos Públicos (Geral),test
c8e0a625f0fcd9ad,8,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),03.02,2,Atos Administrativos,Mérito Administrativo,,,Mérito Administrativo,25,0.04,25,0.04,2026,CESPE/Cebraspe,Concursos Públicos (Geral),test
9acdd5244d9341c2,9,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),03.03,2,Atos Administrativos,"Elementos, Requisitos e Pressupostos (Atos Administrativos)",,,"Elementos, Requisitos e Pressupostos (Atos Administrativos)",198,0.3,198,0.3,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
14f3f185c9599cbc,10,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),03.04,2,Atos Administrativos,Atributos ou Características dos Atos Administrativos,,,Atributos ou Características dos Atos Administrativos,262,0.39,262,0.39,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
ce8054f3d11728b8,11,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),03.05,2,Atos Administrativos,"Atos Administrativos: Espécies, Classificação, Fases de Constituição",,,"Atos Administrativos: Espécies, Classificação, Fases de Constituição",452,0.68,452,0.68,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
3b4f51518f7d3d19,12,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),03.06,2,Atos Administrativos,"Desfazimento do Ato Administrativo (Anulação, Revogação, Cassação, Caducidade, Contraposição)",,,"Desfazimento do Ato Administrativo (Anulação, Revogação, Cassação, Caducidade, Contraposição)",428,0.64,428,0.64,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
ce92986baa9c0c64,13,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),03.07,2,Atos Administrativos,Convalidação e Conversão dos Atos Administrativos,,,Convalidação e Conversão dos Atos Administrativos,93,0.14,93,0.14,2026,CESPE/Cebraspe,Concursos Públicos (Geral),test
489f688bff86cd50,14,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),03.08,2,Atos Administrativos,Teoria dos Motivos Determinantes,,,Teoria dos Motivos Determinantes,55,0.08,55,0.08,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
9f6a332807f17d66,15,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),03.09,2,Atos Administrativos,Tópicos Mesclados de Atos Administrativos,,,Tópicos Mesclados de Atos Administrativos,41,0.06,41,0.06,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
0c6546f264e1d7e7,17,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),04.01,2,Poderes e Deveres da Administração,Poder Vinculado e Discricionário,,,Poder Vinculado e Discricionário,62,0.09,62,0.09,2026,CESPE/Cebraspe,Concursos Públicos (Geral),test
f6c21e16e3765b3d,18,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),04.02,2,Poderes e Deveres da Administração,Poder Regulamentar,,,Poder Regulamentar,106,0.16,106,0.16,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
1561ad0d0033e7e1,19,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),04.03,2,Poderes e Deveres da Administração,Poder Hierárquico,,,Poder Hierárquico,128,0.19,128,0.19,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
f51c2eca8352a343,20,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),04.04,2,Poderes e Deveres da Administração,Poder Disciplinar,,,Poder Disciplinar,126,0.19,126,0.19,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
ab26ff431a60310b,21,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),04.05,2,Poderes e Deveres da Administração,Poder de Polícia,,,Poder de Polícia,384,0.58,384,0.58,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
ce49779660aac077,22,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),04.06,2,Poderes e Deveres da Administração,Abuso de Poder: Excesso de Poder e Desvio de Finalidade (Poderes da Administração),,,Abuso de Poder: Excesso de Poder e Desvio de Finalidade (Poderes da Administração),141,0.21,141,0.21,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
867e3660a520b64a,23,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),04.07,2,Poderes e Deveres da Administração,Deveres da Administração,,,Deveres da Administração,21,0.03,21,0.03,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
3773551d1d104844,24,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),04.08,2,Poderes e Deveres da Administração,Tópicos Mesclados de Poderes da Administração,,,Tópicos Mesclados de Poderes da Administração,95,0.14,95,0.14,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
a334fae75fab0d3a,26,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),05.01,2,Organização Administrativa,Organização Administrativa da União,,,Organização Administrativa da União,2169,3.25,2169,3.25,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
a2fe22f1add4e2f6,38,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),06.01,2,Responsabilidade Civil do Estado,Conceitos Iniciais e Teorias da Responsabilidade,,,Conceitos Iniciais e Teorias da Responsabilidade,326,0.49,326,0.49,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
b15094015594e304,39,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),06.02,2,Responsabilidade Civil do Estado,Responsabilidade Objetiva das Empresas Estatais e das Prestadoras de Serviços Públicos,,,Responsabilidade Objetiva das Empresas Estatais e das Prestadoras de Serviços Públicos,92,0.14,92,0.14,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
1bf362b52c048e49,40,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),06.03,2,Responsabilidade Civil do Estado,Responsabilidade dos Agentes Públicos e Direito de Regresso,,,Responsabilidade dos Agentes Públicos e Direito de Regresso,137,0.21,137,0.21,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
ab47bb9bd34ef389,41,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),06.04,2,Responsabilidade Civil do Estado,Excludentes e Atenuantes de Responsabilidade,,,Excludentes e Atenuantes de Responsabilidade,70,0.1,70,0.1,2026,CESPE/Cebraspe,Concursos Públicos (Geral),test
8051c4d970c73a82,42,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),06.05,2,Responsabilidade Civil do Estado,Responsabilidade Civil por Atos Omissivos,,,Responsabilidade Civil por Atos Omissivos,50,0.07,50,0.07,2026,CESPE/Cebraspe,Concursos Públicos (Geral),test
1c1357e218ab308e,43,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),06.06,2,Responsabilidade Civil do Estado,Responsabilidade por Atos Legislativos e Judiciais,,,Responsabilidade por Atos Legislativos e Judiciais,26,0.04,26,0.04,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
508b937c084d5953,44,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),06.07,2,Responsabilidade Civil do Estado,"Casos Especiais (Danos decorrentes de Obra Pública, Responsabilidade dos Tabeliães, etc.)",,,"Casos Especiais (Danos decorrentes de Obra Pública, Responsabilidade dos Tabeliães, etc.)",22,0.03,22,0.03,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
2566c9f7dc6b5545,45,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),06.08,2,Responsabilidade Civil do Estado,Tópicos Mesclados de Responsabilidade Civil do Estado,,,Tópicos Mesclados de Responsabilidade Civil do Estado,53,0.08,53,0.08,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
c95ab4d5cdc71358,47,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),07.01,2,Serviços Públicos,Conceitos (Serviços Públicos - Lei nº 8.987/1995),,,Conceitos (Serviços Públicos - Lei nº 8.987/1995),92,0.14,92,0.14,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
ed626c6e11da3953,48,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),07.02,2,Serviços Públicos,Classificação de Serviços Públicos,,,Classificação de Serviços Públicos,79,0.12,79,0.12,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
de94a3d9f27a6d54,49,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),07.03,2,Serviços Públicos,Princípios (Serviços Públicos - Lei nº 8.987/1995),,,Princípios (Serviços Públicos - Lei nº 8.987/1995),75,0.11,75,0.11,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
5c502990b0f3cede,50,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),07.04,2,Serviços Públicos,Repartição de Competências (Serviços Públicos),,,Repartição de Competências (Serviços Públicos),23,0.03,23,0.03,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
b67baad2d18dfd66,51,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),07.05,2,Serviços Públicos,Concessões (Serviços Públicos - Lei nº 8.987/1995),,,Concessões (Serviços Públicos - Lei nº 8.987/1995),502,0.75,502,0.75,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
0e9da823de6dd5ef,57,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),07.06,2,Serviços Públicos,Convênios Administrativos,,,Convênios Administrativos,336,0.5,336,0.5,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
894fc082fd9c7af5,58,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),07.07,2,Serviços Públicos,Lei nº 11.079/2004 - Parceria Público-Privada (PPP),,,Lei nº 11.079/2004 - Parceria Público-Privada (PPP),147,0.22,147,0.22,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
2bcdb37b60a0fcb7,59,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),07.08,2,Serviços Públicos,Lei nº 11.107/2005 - Normas Gerais de Contratação de Consórcios Públicos,,,Lei nº 11.107/2005 - Normas Gerais de Contratação de Consórcios Públicos,63,0.09,63,0.09,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
72e577326f4219b9,60,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),07.09,2,Serviços Públicos,Lei nº 13.019/2014 - Estatuto das Parcerias,,,Lei nº 13.019/2014 - Estatuto das Parcerias,45,0.07,45,0.07,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
48723f92930819f6,61,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),07.10,2,Serviços Públicos,Lei nº 13.460/2017 - Direitos Básicos do Usuário do Serviço Público,,,Lei nº 13.460/2017 - Direitos Básicos do Usuário do Serviço Público,18,0.03,18,0.03,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
0ebca5fd6cd6c065,62,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),07.11,2,Serviços Públicos,Lei nº 13.726/2018 - Desburocratização e Simplificação,,,Lei nº 13.726/2018 - Desburocratização e Simplificação,4,0.01,4,0.01,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
f1ae910cca74209a,63,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),07.12,2,Serviços Públicos,Decreto nº 9.094/2017 - Simplificação e Racionalização de Serviços Públicos,,,Decreto nº 9.094/2017 - Simplificação e Racionalização de Serviços Públicos,6,0.01,6,0.01,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
d9ddfc4b9e22f806,64,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),07.13,2,Serviços Públicos,Tópicos Mesclados de Serviços Públicos,,,Tópicos Mesclados de Serviços Públicos,43,0.06,43,0.06,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
53107ab1010a596c,66,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),08.01,2,Controle da Administração,"Controle da Administração: Conceitos, Princípios, Abrangência e Classificações",,,"Controle da Administração: Conceitos, Princípios, Abrangência e Classificações",125,0.19,125,0.19,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
286b1719527a8702,67,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),08.02,2,Controle da Administração,Controle Administrativo (Direito Administrativo),,,Controle Administrativo (Direito Administrativo),182,0.27,182,0.27,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
70f0403ec60e2064,68,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),08.03,2,Controle da Administração,Controle Legislativo ou Parlamentar,,,Controle Legislativo ou Parlamentar,277,0.41,277,0.41,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
6b12abe88f0dd9c0,71,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),08.04,2,Controle da Administração,Controle Popular ou Social,,,Controle Popular ou Social,10,0.01,10,0.01,2026,CESPE/Cebraspe,Concursos Públicos (Geral),test
78984c8d45261872,72,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),08.05,2,Controle da Administração,Controle Jurisdicional,,,Controle Jurisdicional,210,0.31,210,0.31,2026,CESPE/Cebraspe,Concursos Públicos (Geral),test
1b13c4a956a7312b,73,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),08.06,2,Controle da Administração,Lei nº 12.846/2013 - Lei Anticorrupção,,,Lei nº 12.846/2013 - Lei Anticorrupção,143,0.21,143,0.21,2026,CESPE/Cebraspe,Concursos Públicos (Geral),test
6f7f6b1a57eaa458,81,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),08.07,2,Controle da Administração,Decreto nº 11.129/2022 - Regulamenta a Lei nº 12.846/2013 (Lei Anticorrupção),,,Decreto nº 11.129/2022 - Regulamenta a Lei nº 12.846/2013 (Lei Anticorrupção),8,0.01,8,0.01,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
cae0908532c9b682,82,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),08.08,2,Controle da Administração,Tópicos Mesclados de Controle da Administração,,,Tópicos Mesclados de Controle da Administração,61,0.09,61,0.09,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
0481b29f1e8ff438,84,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),09.01,2,Domínio Público,Domínio Público e Bens Públicos: Conceito,,,Domínio Público e Bens Públicos: Conceito,13,0.02,13,0.02,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
ea28096b69bc2ecf,85,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),09.02,2,Domínio Público,Bens Públicos (Direito Administrativo),,,Bens Públicos (Direito Administrativo),311,0.47,311,0.47,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
64336c9ebaa431b2,93,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),09.03,2,Domínio Público,"Lei nº 9.636/1998 - Regularização, Administração, Aforamento e Alienação de Bens Imóveis da União",,,"Lei nº 9.636/1998 - Regularização, Administração, Aforamento e Alienação de Bens Imóveis da União",2,0.0,2,0.0,2026,CESPE/Cebraspe,Concursos Públicos (Geral),test
480fc986b2d87c9d,95,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),10.01,2,Agentes Públicos,Conceito para Agentes Públicos,,,Conceito para Agentes Públicos,30,0.04,30,0.04,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
43dd83c6818a7ab8,96,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),10.02,2,Agentes Públicos,Classificação dos Agentes Públicos,,,Classificação dos Agentes Públicos,123,0.18,123,0.18,2026,CESPE/Cebraspe,Concursos Públicos (Geral),test
108dbe90829e2ae7,97,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),10.03,2,Agentes Públicos,"Funções, Cargos e Empregos Públicos",,,"Funções, Cargos e Empregos Públicos",143,0.21,143,0.21,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
0173010af22b3468,98,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),10.04,2,Agentes Públicos,"Criação, Transformação e Extinção de Cargos Públicos",,,"Criação, Transformação e Extinção de Cargos Públicos",21,0.03,21,0.03,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
dcbde9408e95d83e,99,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),10.05,2,Agentes Públicos,Aspectos Constitucionais pertinentes aos Servidores Públicos,,,Aspectos Constitucionais pertinentes aos Servidores Públicos,654,0.98,654,0.98,2026,CESPE/Cebraspe,Concursos Públicos (Geral),test
367d647ec43e1e15,109,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),10.06,2,Agentes Públicos,Lei nº 8.112/1990 - Estatuto dos Servidores Federais,,,Lei nº 8.112/1990 - Estatuto dos Servidores Federais,1836,2.75,1836,2.75,2026,CESPE/Cebraspe,Concursos Públicos (Geral),test
2664b435a126327d,125,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),10.07,2,Agentes Públicos,"Decreto nº 7.003/2009 - Regulamenta a Licença para Tratamento de Saúde, de que Tratam os arts. 202 a 205 da Lei nº 8.112/1990",,,"Decreto nº 7.003/2009 - Regulamenta a Licença para Tratamento de Saúde, de que Tratam os arts. 202 a 205 da Lei nº 8.112/1990",9,0.01,9,0.01,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
574e2d4daf070a29,126,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),10.08,2,Agentes Públicos,Decreto nº 7.203/2010 - Nepotismo,,,Decreto nº 7.203/2010 - Nepotismo,5,0.01,5,0.01,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
3393be9f6dca00de,127,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),10.09,2,Agentes Públicos,Lei nº 8.745/1993 - Contratação Temporária,,,Lei nº 8.745/1993 - Contratação Temporária,4,0.01,4,0.01,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
48a3fd1468a2c3d3,128,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),10.10,2,Agentes Públicos,Tópicos Mesclados de Agentes Públicos,,,Tópicos Mesclados de Agentes Públicos,94,0.14,94,0.14,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
14e0b3da2e8b2064,130,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),11.01,2,Improbidade Administrativa (Lei nº 8.429/1992),Das Disposições Gerais (arts. 1º a 8º-A da Lei nº 8.429/1992),,,Das Disposições Gerais (arts. 1º a 8º-A da Lei nº 8.429/1992),286,0.43,286,0.43,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
619b873c99544bd7,131,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),11.02,2,Improbidade Administrativa (Lei nº 8.429/1992),Dos Atos de Improbidade (arts. 9º a 11 da Lei nº 8.429/1992),,,Dos Atos de Improbidade (arts. 9º a 11 da Lei nº 8.429/1992),427,0.64,427,0.64,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
2dce76f86fb97206,132,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),11.03,2,Improbidade Administrativa (Lei nº 8.429/1992),Das Penas (art. 12 da Lei nº 8.429/1992),,,Das Penas (art. 12 da Lei nº 8.429/1992),123,0.18,123,0.18,2026,CESPE/Cebraspe,Concursos Públicos (Geral),test
def15772f8c78bfc,133,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),11.04,2,Improbidade Administrativa (Lei nº 8.429/1992),Da Declaração de Bens (art. 13 da Lei nº 8.429/1992),,,Da Declaração de Bens (art. 13 da Lei nº 8.429/1992),31,0.05,31,0.05,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
3508ae20071b92d2,134,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),11.05,2,Improbidade Administrativa (Lei nº 8.429/1992),Do Procedimento Administrativo e do Processo Judicial (arts. 14 a 18-A da Lei nº 8.429/1992),,,Do Procedimento Administrativo e do Processo Judicial (arts. 14 a 18-A da Lei nº 8.429/1992),146,0.22,146,0.22,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
e6a052fcd72e1eb5,135,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),11.06,2,Improbidade Administrativa (Lei nº 8.429/1992),Das Disposições Penais (arts. 19 a 22 da Lei nº 8.429/1992),,,Das Disposições Penais (arts. 19 a 22 da Lei nº 8.429/1992),57,0.09,57,0.09,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
fa44b894f36a0e10,136,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),11.07,2,Improbidade Administrativa (Lei nº 8.429/1992),Da Prescrição (arts. 23 a 23-C da Lei nº 8.429/1992),,,Da Prescrição (arts. 23 a 23-C da Lei nº 8.429/1992),45,0.07,45,0.07,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
a6fc06826dd664d8,137,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),11.08,2,Improbidade Administrativa (Lei nº 8.429/1992),Tópicos Mesclados de Improbidade Administrativa (Lei nº 8.429/1992),,,Tópicos Mesclados de Improbidade Administrativa (Lei nº 8.429/1992),94,0.14,94,0.14,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
